country_name,total_female_students,total_male_students
"United States of America",4932362,5358928
"United Kingdom",1601482,1407711
Switzerland,238676,321050
"Hong Kong",123489,178210
Japan,63604,457285
"South Korea",33503,320375
Canada,691623,886970
Singapore,164961,174759
Australia,732341,642386
China,139057,475713
France,168904,306906
Germany,910781,1130995
Ireland,53082,128816
Sweden,233647,329021
Finland,77567,39959
Taiwan,72429,119229
"South Africa",53106,47094
Netherlands,616590,579932
Belgium,343650,280645
Denmark,170279,136871
Norway,13948,117854
Spain,102633,66491
"New Zealand",80425,68510
Egypt,58618,68813
Turkey,47007,64852
Austria,149130,76985
Israel,43596,136615
Brazil,78146,84658
Italy,8848,8917
Russia,13253,17569
"United States of America",4932362,5358928
"United Kingdom",1601482,1407711
Switzerland,238676,321050
"Hong Kong",123489,178210
Japan,63604,457285
"South Korea",33503,320375
Canada,691623,886970
Singapore,164961,174759
Australia,732341,642386
China,139057,475713
France,168904,306906
Germany,910781,1130995
Ireland,53082,128816
Sweden,233647,329021
Finland,77567,39959
Taiwan,72429,119229
"South Africa",53106,47094
Netherlands,616590,579932
Belgium,343650,280645
Denmark,170279,136871
Norway,13948,117854
Spain,102633,66491
"New Zealand",80425,68510
Egypt,58618,68813
Turkey,47007,64852
Austria,149130,76985
Israel,43596,136615
Brazil,78146,84658
Italy,8848,8917
Russia,13253,17569
